parallelism,bench_id,throughput,latency_mean,latency_max
1,01JZJKH6XFX5JJC3BSAYTAXP91,51.59986690301091,38s188ms20µs690ns,1m7s462ms511µs548ns
2,01JZJMDN4NN27Z7RPRF3E0HKEQ,87.7515476342832,23s590ms455µs443ns,38s690ms843µs656ns
3,01JZJMNG3VX9ETSJE2V7DGSSNS,112.06693883871422,18s883ms514µs819ns,29s793ms663µs549ns
4,01JZJMS546N024XNB4B7ABNRFS,124.45558176672348,15s279ms658µs234ns,26s305ms865µs463ns
5,01JZJMVG1N0JJSKZ0D54ACVGDY,151.40381619002238,13s898ms604µs284ns,21s195ms420µs584ns
6,01JZJMXWNKGP6CS4TT4Z8WA78K,162.61283051769178,13s429ms165µs501ns,19s715ms827µs819ns
7,01JZJN0K0G2MD6WMQ011MA3A91,168.9081806399834,13s737µs895ns,19s37ms213µs989ns
8,01JZJN3MCEQTZ9Q6Y2V9973S7K,172.22223389240477,11s931ms496µs50ns,18s435ms574µs513ns
